Descriptores,2008|Artes visuales y plásticas,2008|Artes escénicas y espectáculos,2008|Música y conciertos,"2008|Libros, impresiones y prensa",2008|Medios audiovisuales,2008|Artesanías,2008|Diseño y servicios creativos,2008|Patrimonio cutural y natural,2008|Formación y difusión cultural,2008|Contenidos digitales e internet,2008|Total cultura,2008|Valor agregado bruto,2009|Artes visuales y plásticas,2009|Artes escénicas y espectáculos,2009|Música y conciertos,"2009|Libros, impresiones y prensa",2009|Medios audiovisuales,2009|Artesanías,2009|Diseño y servicios creativos,2009|Patrimonio cutural y natural,2009|Formación y difusión cultural,2009|Contenidos digitales e internet,2009|Total cultura,2009|Valor agregado bruto,2010|Artes visuales y plásticas,2010|Artes escénicas y espectáculos,2010|Música y conciertos,"2010|Libros, impresiones y prensa",2010|Medios audiovisuales,2010|Artesanías,2010|Diseño y servicios creativos,2010|Patrimonio cutural y natural,2010|Formación y difusión cultural,2010|Contenidos digitales e internet,2010|Total cultura,2010|Valor agregado bruto,2011|Artes visuales y plásticas,2011|Artes escénicas y espectáculos,2011|Música y conciertos,"2011|Libros, impresiones y prensa",2011|Medios audiovisuales,2011|Artesanías,2011|Diseño y servicios creativos,2011|Patrimonio cutural y natural,2011|Formación y difusión cultural,2011|Contenidos digitales e internet,2011|Total cultura,2011|Valor agregado bruto,2012|Artes visuales y plásticas,2012|Artes escénicas y espectáculos,2012|Música y conciertos,"2012|Libros, impresiones y prensa",2012|Medios audiovisuales,2012|Artesanías,2012|Diseño y servicios creativos,2012|Patrimonio cutural y natural,2012|Formación y difusión cultural,2012|Contenidos digitales e internet,2012|Total cultura,2012|Valor agregado bruto,2013|Artes visuales y plásticas,2013|Artes escénicas y espectáculos,2013|Música y conciertos,"2013|Libros, impresiones y prensa",2013|Medios audiovisuales,2013|Artesanías,2013|Diseño y servicios creativos,2013|Patrimonio cutural y natural,2013|Formación y difusión cultural,2013|Contenidos digitales e internet,2013|Total cultura,2013|Valor agregado bruto,2014|Artes visuales y plásticas,2014|Artes escénicas y espectáculos,2014|Música y conciertos,"2014|Libros, impresiones y prensa",2014|Medios audiovisuales,2014|Artesanías,2014|Diseño y servicios creativos,2014|Patrimonio cutural y natural,2014|Formación y difusión cultural,2014|Contenidos digitales e internet,2014|Total cultura,2014|Valor agregado bruto,2015|Artes visuales y plásticas,2015|Artes escénicas y espectáculos,2015|Música y conciertos,"2015|Libros, impresiones y prensa",2015|Medios audiovisuales,2015|Artesanías,2015|Diseño y servicios creativos,2015|Patrimonio cutural y natural,2015|Formación y difusión cultural,2015|Contenidos digitales e internet,2015|Total cultura,2015|Valor agregado bruto,2016|Artes visuales y plásticas,2016|Artes escénicas y espectáculos,2016|Música y conciertos,"2016|Libros, impresiones y prensa",2016|Medios audiovisuales,2016|Artesanías,2016|Diseño y servicios creativos,2016|Patrimonio cutural y natural,2016|Formación y difusión cultural,2016|Contenidos digitales e internet,2016|Total cultura,2016|Valor agregado bruto,2017|Artes visuales y plásticas,2017|Artes escénicas y espectáculos,2017|Música y conciertos,"2017|Libros, impresiones y prensa",2017|Medios audiovisuales,2017|Artesanías,2017|Diseño y servicios creativos,2017|Patrimonio cutural y natural,2017|Formación y difusión cultural,2017|Contenidos digitales e internet,2017|Total cultura,2017|Valor agregado bruto,2018|Artes visuales y plásticas,2018|Artes escénicas y espectáculos,2018|Música y conciertos,"2018|Libros, impresiones y prensa",2018|Medios audiovisuales,2018|Artesanías,2018|Diseño y servicios creativos,2018|Patrimonio cutural y natural,2018|Formación y difusión cultural,2018|Contenidos digitales e internet,2018|Total cultura,2018|Valor agregado bruto,2019|Artes visuales y plásticas,2019|Artes escénicas y espectáculos,2019|Música y conciertos,"2019|Libros, impresiones y prensa",2019|Medios audiovisuales,2019|Artesanías,2019|Diseño y servicios creativos,2019|Patrimonio cutural y natural,2019|Formación y difusión cultural,2019|Contenidos digitales e internet,2019|Total cultura,2019|Valor agregado bruto<C1>,2020|Artes visuales y plásticas,2020|Artes escénicas y espectáculos,2020|Música y conciertos,"2020|Libros, impresiones y prensa",2020|Medios audiovisuales,2020|Artesanías,2020|Diseño y servicios creativos,2020|Patrimonio cutural y natural,2020|Formación y difusión cultural,2020|Contenidos digitales e internet,2020|Total cultura,2020|Valor agregado bruto<C1>,2021|Artes visuales y plásticas,2021|Artes escénicas y espectáculos,2021|Música y conciertos,"2021|Libros, impresiones y prensa",2021|Medios audiovisuales,2021|Artesanías,2021|Diseño y servicios creativos,2021|Patrimonio cutural y natural,2021|Formación y difusión cultural,2021|Contenidos digitales e internet,2021|Total cultura,2021|Valor agregado bruto<C1>,2022|Artes visuales y plásticas<P>,2022|Artes escénicas y espectáculos<P>,2022|Música y conciertos<P>,"2022|Libros, impresiones y prensa<P>",2022|Medios audiovisuales<P>,2022|Artesanías<P>,2022|Diseño y servicios creativos<P>,2022|Patrimonio cutural y natural<P>,2022|Formación y difusión cultural<P>,2022|Contenidos digitales e internet<P>,2022|Total cultura<P>,"2022|Valor agregado bruto<C2,P>",2023|Artes visuales y plásticas<P>,2023|Artes escénicas y espectáculos<P>,2023|Música y conciertos<P>,"2023|Libros, impresiones y prensa<P>",2023|Medios audiovisuales<P>,2023|Artesanías<P>,2023|Diseño y servicios creativos<P>,2023|Patrimonio cutural y natural<P>,2023|Formación y difusión cultural<P>,2023|Contenidos digitales e internet<P>,2023|Total cultura<P>,"2023|Valor agregado bruto<C2,P>"
"Distribución de áreas generales, total del sector y economía total por entidad federativa (porcentaje)|Nacional",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"Distribución de áreas generales, total del sector y economía total por entidad federativa (porcentaje)|Nacional|Aguascalientes",0.384,1.573,0.594,0.741,0.453,0.312,0.995,0.764,1.7,0.328,0.652,1.028,0.392,1.577,0.596,0.736,0.468,0.311,0.996,0.752,1.695,0.345,0.658,1.04,0.388,1.603,0.613,0.722,0.467,0.309,0.985,0.752,1.678,0.358,0.657,1.054,0.38,1.566,0.595,0.721,0.47,0.311,0.985,0.728,1.67,0.353,0.649,1.035,0.376,1.571,0.605,0.721,0.498,0.318,0.995,0.717,1.669,0.378,0.665,1.06,0.371,1.587,0.588,0.718,0.518,0.323,0.992,0.726,1.657,0.387,0.667,1.097,0.366,1.57,0.581,0.713,0.561,0.323,0.993,0.749,1.65,0.381,0.67,1.155,0.367,1.585,0.594,0.709,0.548,0.319,0.997,0.751,1.647,0.376,0.667,1.233,0.365,1.608,0.612,0.681,0.521,0.323,0.997,0.773,1.637,0.27,0.651,1.305,0.363,1.648,0.609,0.711,0.502,0.329,1.001,0.746,1.622,0.224,0.637,1.303,0.366,1.661,0.598,0.713,0.483,0.329,0.993,0.747,1.623,0.224,0.633,1.344,0.384,1.735,0.635,0.709,0.515,0.329,1.005,0.741,1.61,0.133,0.631,1.351,0.418,1.631,0.61,0.695,0.449,0.359,1.016,0.585,1.623,0.231,0.624,1.431,0.431,1.64,0.605,0.675,0.397,0.342,0.987,0.771,1.617,0.209,0.611,1.374,0.385,1.625,0.64,0.753,0.397,0.356,1.023,0.592,1.6,0.218,0.62,1.292,0.369,1.601,0.622,0.739,0.412,0.377,1.025,0.597,1.579,0.212,0.63,1.316
"Distribución de áreas generales, total del sector y economía total por entidad federativa (porcentaje)|Nacional|Baja California",1.704,5.78,10.832,1.553,7.817,0.966,2.165,1.673,3.318,2.289,3.873,3.596,1.683,5.741,10.719,1.539,7.822,0.948,2.113,1.618,3.316,2.29,3.897,3.45,1.679,5.672,9.815,1.553,6.727,0.929,2.111,1.641,3.292,2.29,3.523,3.297,1.661,5.66,10.811,1.556,7.527,0.978,2.119,1.641,3.283,2.29,3.892,3.134,1.623,5.542,10.257,1.536,6.171,0.979,2.103,1.637,3.288,2.287,3.475,3.165,1.613,5.576,11.099,1.55,5.808,0.954,2.113,1.65,3.272,2.292,3.478,3.141,1.596,5.58,11.552,1.556,5.377,0.969,2.125,1.633,3.266,2.289,3.491,3.214,1.706,5.753,11.003,1.553,5.569,0.96,2.119,1.635,3.267,2.294,3.574,3.471,1.693,5.548,10.64,1.557,5.767,0.882,2.085,1.647,3.259,2.084,3.478,3.607,1.628,5.427,10.606,1.566,5.671,0.906,2.124,1.651,3.243,2.059,3.411,3.623,1.658,5.597,11.113,1.583,5.666,0.952,2.13,1.658,3.253,2.048,3.397,3.603,1.612,5.679,10.602,1.538,6.369,0.935,2.127,1.836,3.237,2.055,3.622,3.688,1.632,5.411,10.284,1.598,5.631,1.002,2.148,1.481,3.267,2.07,3.03,3.785,1.669,5.19,10.411,1.615,5.33,0.926,2.174,1.281,3.276,2.103,2.894,3.805,1.542,4.767,8.197,1.436,4.081,0.933,2.113,1.333,3.256,2.1,2.545,3.849,1.482,4.607,7.292,1.417,3.793,0.942,2.12,1.563,3.228,2.146,2.467,3.858
"Distribución de áreas generales, total del sector y economía total por entidad federativa (porcentaje)|Nacional|Baja California Sur",1.062,0.546,0.231,0.302,0.286,1.876,0.426,0.819,0.821,0.145,0.569,0.699,1.056,0.526,0.231,0.3,0.298,1.789,0.4,0.81,0.819,0.139,0.545,0.717,1.049,0.526,0.234,0.305,0.342,1.75,0.397,0.783,0.812,0.137,0.564,0.691,1.073,0.539,0.232,0.308,0.339,1.907,0.404,0.816,0.808,0.143,0.6,0.679,1.073,0.542,0.232,0.302,0.346,1.925,0.411,0.803,0.808,0.141,0.622,0.661,1.09,0.55,0.224,0.304,0.34,1.86,0.415,0.803,0.803,0.139,0.613,0.658,1.098,0.556,0.223,0.306,0.308,1.867,0.414,0.814,0.8,0.141,0.604,0.659,1.095,0.553,0.229,0.304,0.3,1.844,0.417,0.814,0.799,0.142,0.605,0.693,1.087,0.542,0.231,0.301,0.342,1.671,0.387,0.811,0.796,0.159,0.597,0.716,1.119,0.566,0.234,0.302,0.35,1.727,0.394,0.812,0.789,0.167,0.618,0.731,1.124,0.566,0.23,0.304,0.372,1.828,0.392,0.825,0.79,0.168,0.656,0.767,1.116,0.561,0.229,0.295,0.36,1.757,0.377,0.599,0.787,0.186,0.627,0.739,1.039,0.469,0.22,0.294,0.256,1.933,0.383,0.59,0.793,0.189,0.663,0.685,1.122,0.532,0.213,0.289,0.304,1.714,0.384,0.604,0.789,0.199,0.656,0.729,1.175,0.598,0.254,0.359,0.348,1.74,0.411,0.621,0.782,0.209,0.688,0.741,1.188,0.61,0.254,0.356,0.381,1.804,0.408,0.672,0.774,0.202,0.706,0.734
"Distribución de áreas generales, total del sector y economía total por entidad federativa (porcentaje)|Nacional|Campeche",0.111,0.195,0.536,0.778,0.272,0.521,0.35,0.628,0.601,0.304,0.429,5.701,0.113,0.204,0.54,0.776,0.286,0.525,0.355,0.634,0.599,0.279,0.429,4.181,0.115,0.218,0.55,0.763,0.318,0.542,0.358,0.675,0.593,0.293,0.437,4.386,0.112,0.217,0.538,0.759,0.313,0.551,0.351,0.694,0.588,0.314,0.443,5.113,0.109,0.213,0.54,0.753,0.318,0.528,0.362,0.691,0.587,0.327,0.443,4.621,0.107,0.214,0.518,0.75,0.315,0.547,0.346,0.69,0.582,0.313,0.434,4.145,0.105,0.211,0.51,0.749,0.295,0.541,0.341,0.7,0.579,0.314,0.423,3.936,0.105,0.21,0.526,0.741,0.283,0.561,0.338,0.705,0.577,0.316,0.424,2.493,0.096,0.243,0.528,0.735,0.297,0.586,0.323,0.681,0.572,0.331,0.431,2.202,0.093,0.193,0.524,0.739,0.297,0.571,0.32,0.67,0.566,0.356,0.427,2.381,0.104,0.212,0.507,0.738,0.301,0.588,0.319,0.652,0.564,0.366,0.431,2.428,0.081,0.194,0.523,0.726,0.302,0.576,0.318,0.685,0.555,0.39,0.434,2.646,0.091,0.193,0.507,0.731,0.292,0.46,0.312,0.852,0.557,0.353,0.415,2.007,0.095,0.202,0.474,0.711,0.331,0.525,0.319,0.718,0.551,0.375,0.427,1.873,0.082,0.18,0.475,0.816,0.377,0.524,0.384,0.688,0.544,0.403,0.448,1.706,0.08,0.19,0.452,0.773,0.397,0.521,0.364,0.651,0.536,0.424,0.442,1.777
"Distribución de áreas generales, total del sector y economía total por entidad federativa (porcentaje)|Nacional|Coahuila de Zaragoza",2.159,1.225,1.301,1.878,0.734,0.362,2.288,3.512,1.402,0.734,1.279,3.443,2.13,1.251,1.312,1.841,0.73,0.358,2.288,3.447,1.404,0.772,1.285,3.133,2.129,1.233,1.342,1.919,0.806,0.354,2.337,3.436,1.423,0.796,1.308,3.49,2.109,1.251,1.306,1.934,0.778,0.36,2.369,3.439,1.429,0.782,1.298,3.639,2.1,1.241,1.302,1.879,0.807,0.364,2.411,3.459,1.425,0.831,1.319,3.714,2.065,1.234,1.267,1.92,0.8,0.361,2.5,3.436,1.437,0.851,1.32,3.595,2.04,1.23,1.262,1.919,0.754,0.363,2.457,3.341,1.442,0.84,1.283,3.694,2.035,1.207,1.297,1.901,0.762,0.358,2.533,3.387,1.441,0.828,1.293,3.83,1.969,1.177,1.305,1.878,0.812,0.352,2.546,3.345,1.445,0.423,1.241,3.872,2.001,1.177,1.299,1.872,0.822,0.358,2.453,3.336,1.456,0.532,1.236,3.931,2.007,1.187,1.298,1.893,0.826,0.361,2.439,3.229,1.448,0.549,1.23,3.969,1.935,1.186,1.313,1.817,0.798,0.351,2.476,2.334,1.462,0.426,1.146,3.961,2.061,1.3,1.347,1.878,0.598,0.357,2.333,4.702,1.439,0.494,1.237,3.935,2.011,1.327,1.219,1.804,0.672,0.343,2.283,5.026,1.43,0.461,1.233,4.019,1.946,1.313,1.405,2.01,0.73,0.347,2.298,3.168,1.446,0.475,1.186,3.867,1.936,1.324,1.434,1.844,0.834,0.356,2.333,3.321,1.466,0.424,1.22,3.795
"Distribución de áreas generales, total del sector y economía total por entidad federativa (porcentaje)|Nacional|Colima",0.595,0.419,0.335,0.336,0.196,0.331,0.33,0.477,0.644,0.113,0.302,0.587,0.592,0.409,0.334,0.338,0.207,0.331,0.327,0.469,0.641,0.108,0.301,0.607,0.591,0.41,0.345,0.335,0.228,0.327,0.325,0.465,0.633,0.106,0.302,0.61,0.589,0.409,0.328,0.329,0.224,0.331,0.325,0.467,0.628,0.11,0.303,0.617,0.584,0.41,0.327,0.314,0.233,0.337,0.326,0.47,0.627,0.107,0.306,0.607,0.584,0.414,0.316,0.313,0.232,0.34,0.325,0.466,0.621,0.106,0.304,0.615,0.579,0.422,0.31,0.307,0.219,0.342,0.322,0.462,0.617,0.107,0.299,0.61,0.577,0.419,0.315,0.303,0.213,0.338,0.324,0.466,0.615,0.107,0.298,0.623,0.573,0.417,0.322,0.307,0.215,0.337,0.319,0.444,0.61,0.107,0.301,0.61,0.586,0.43,0.323,0.315,0.22,0.344,0.323,0.438,0.602,0.106,0.302,0.638,0.601,0.434,0.357,0.362,0.228,0.347,0.325,0.431,0.602,0.106,0.312,0.655,0.612,0.436,0.33,0.345,0.246,0.35,0.321,0.407,0.597,0.071,0.306,0.692,0.597,0.461,0.354,0.355,0.182,0.378,0.349,0.494,0.602,0.105,0.314,0.688,0.606,0.466,0.263,0.322,0.196,0.357,0.335,0.494,0.595,0.106,0.306,0.648,0.636,0.434,0.675,0.508,0.185,0.371,0.354,0.356,0.587,0.109,0.332,0.633,0.645,0.444,0.746,0.55,0.213,0.389,0.353,0.283,0.577,0.11,0.341,0.64
"Distribución de áreas generales, total del sector y economía total por entidad federativa (porcentaje)|Nacional|Chiapas",0.826,0.886,3.35,3.107,0.813,2.598,1.104,2.664,1.87,0.424,1.644,1.748,0.826,0.847,3.359,3.112,0.817,2.672,1.132,2.611,1.871,0.423,1.669,1.803,0.8,0.796,3.456,3.013,0.957,2.705,1.152,2.641,1.863,0.424,1.664,1.835,0.783,0.809,3.349,2.99,0.913,2.713,1.117,2.628,1.862,0.428,1.688,1.804,0.747,0.788,3.404,2.976,0.904,2.674,1.124,2.556,1.865,0.436,1.663,1.804,0.72,0.689,3.304,2.928,0.896,2.688,1.071,2.588,1.861,0.439,1.607,1.759,0.748,0.765,3.261,2.913,0.868,2.699,1.064,2.671,1.86,0.438,1.581,1.764,0.761,0.722,3.327,2.888,0.827,2.691,1.131,2.658,1.862,0.433,1.597,1.672,0.811,0.651,3.322,2.902,0.818,2.965,1.106,2.574,1.86,0.501,1.646,1.674,0.729,0.681,3.322,2.918,0.787,2.992,1.082,2.596,1.857,0.514,1.626,1.538,0.739,0.586,3.257,2.889,0.757,3.085,1.071,2.589,1.863,0.517,1.621,1.487,0.732,0.585,3.212,2.958,0.811,3.08,1.038,2.526,1.862,0.857,1.709,1.47,0.901,0.68,3.22,2.872,0.686,2.907,1.005,2.449,1.875,0.441,1.538,1.556,0.694,0.565,3.166,2.857,0.722,3.035,1.053,2.53,1.882,0.42,1.565,1.551,0.536,0.48,2.601,1.98,0.721,3.028,0.857,2.324,1.877,0.431,1.417,1.592,0.535,0.525,2.696,1.985,0.763,3.032,0.78,2.422,1.87,0.456,1.413,1.57
"Distribución de áreas generales, total del sector y economía total por entidad federativa (porcentaje)|Nacional|Chihuahua",2.548,1.5,2.779,1.449,8.845,0.368,1.628,2.057,2.936,1.384,2.708,3.34,2.524,1.465,2.768,1.448,7.163,0.368,1.635,2.038,2.927,1.379,2.442,3.246,2.541,1.457,2.622,1.431,6.493,0.358,1.632,2.019,2.889,1.433,2.293,3.169,2.549,1.496,2.771,1.441,5.861,0.362,1.629,2.061,2.871,1.455,2.266,3.039,2.573,1.503,2.666,1.443,5.925,0.362,1.634,2.062,2.873,1.532,2.288,3.213,2.599,1.509,2.746,1.436,5.8,0.358,1.629,2.055,2.846,1.525,2.326,3.218,2.582,1.508,2.801,1.426,5.647,0.363,1.631,2.026,2.831,1.513,2.4,3.271,2.564,1.507,2.749,1.422,7.032,0.355,1.642,2.018,2.827,1.51,2.737,3.614,2.536,1.506,2.656,1.416,8.477,0.335,1.64,2.006,2.806,1.226,2.945,3.667,2.614,1.536,2.635,1.43,9.404,0.348,1.638,1.988,2.776,1.324,3.198,3.655,2.608,1.531,2.674,1.431,9.446,0.343,1.636,1.987,2.782,1.337,3.149,3.539,2.672,1.463,2.582,1.405,9.814,0.345,1.683,1.959,2.755,1.199,3.142,3.583,2.446,1.365,2.376,1.367,11.349,0.363,1.689,2.151,2.791,1.345,3.103,3.654,2.649,1.503,2.322,1.369,10.977,0.34,1.692,2.512,2.785,1.332,3.015,3.663,2.784,1.648,1.732,1.129,9.224,0.346,1.643,2.696,2.749,1.401,2.87,3.796,2.799,1.668,1.524,1.109,8.384,0.345,1.669,2.193,2.702,1.462,2.658,3.777
"Distribución de áreas generales, total del sector y economía total por entidad federativa (porcentaje)|Nacional|Ciudad de México",23.932,28.471,19.438,32.084,39.971,4.821,46.23,23.994,19.101,68.435,36.427,16.671,23.862,28.27,19.448,31.643,41.978,4.714,46.026,23.795,19.088,68.735,36.723,17.222,23.832,28.573,19.885,32.659,44.335,4.654,45.929,23.977,19.102,68.646,37.182,16.771,24.217,28.505,19.342,32.612,43.871,4.847,46.179,24.321,19.079,68.326,36.119,16.312,24.052,28.527,19.499,32.664,44.814,4.935,46.025,24.144,19.056,68.092,36.036,16.084,24.178,28.713,18.94,32.799,45,4.829,46.25,24.051,19.056,68.124,36.31,16.486,24.256,28.573,18.516,32.853,44.781,4.82,46.301,24.271,19.045,68.106,36.465,16.214,24.307,28.394,18.91,33.102,42.718,4.787,45.666,24.11,19.021,68.165,35.465,16.212,24.431,28.632,19.154,32.925,40.531,4.613,45.68,23.634,18.992,68.889,34.702,15.942,24.253,28.446,19.085,32.907,40.136,4.704,45.916,22.864,18.977,68.635,34.66,15.486,24.192,28.357,18.815,32.552,41.002,4.872,46.021,22.473,18.94,68.562,34.596,15.226,24.132,27.766,19.332,32.419,38.28,4.736,45.846,20.833,18.892,68.476,33.571,15.026,22.932,27.418,19.562,32.6,43.128,5.02,46.114,28.118,18.828,68.686,35.991,14.697,24.585,29.029,19.089,32.78,45.039,4.744,45.8,27.855,18.775,68.777,35.942,14.493,24.93,29.06,21.744,32.799,50.6,4.756,44.894,23.129,18.766,68.293,36.291,14.468,24.754,28.817,22.636,33.728,50.822,4.885,45.912,22.739,18.758,68.434,36.694,14.578
"Distribución de áreas generales, total del sector y economía total por entidad federativa (porcentaje)|Nacional|Durango",0.741,0.42,0.612,0.741,0.228,0.49,0.574,1.218,0.878,0.159,0.491,1.276,0.716,0.43,0.614,0.742,0.238,0.515,0.57,1.219,0.882,0.155,0.496,1.368,0.738,0.428,0.633,0.725,0.259,0.488,0.57,1.242,0.884,0.154,0.494,1.308,0.716,0.425,0.613,0.722,0.256,0.467,0.566,1.231,0.889,0.158,0.492,1.37,0.709,0.435,0.627,0.719,0.268,0.466,0.575,1.237,0.893,0.157,0.498,1.385,0.689,0.416,0.61,0.712,0.271,0.467,0.57,1.221,0.896,0.157,0.489,1.419,0.695,0.421,0.604,0.707,0.269,0.479,0.571,1.219,0.899,0.159,0.484,1.409,0.673,0.416,0.614,0.701,0.262,0.465,0.564,1.224,0.904,0.159,0.481,1.372,0.657,0.402,0.62,0.703,0.268,0.449,0.555,1.224,0.909,0.162,0.483,1.384,0.661,0.414,0.622,0.707,0.264,0.483,0.542,1.241,0.914,0.167,0.484,1.342,0.657,0.431,0.61,0.703,0.261,0.45,0.549,1.237,0.92,0.167,0.479,1.296,0.661,0.425,0.614,0.696,0.3,0.466,0.553,1.233,0.926,0.169,0.492,1.312,0.747,0.42,0.601,0.682,0.239,0.526,0.548,1.501,0.933,0.18,0.506,1.356,0.71,0.405,0.61,0.674,0.247,0.491,0.567,1.636,0.944,0.176,0.506,1.385,0.661,0.389,0.745,0.88,0.258,0.508,0.63,1.166,0.949,0.179,0.512,1.322,0.658,0.428,0.743,0.876,0.294,0.492,0.6,1.138,0.955,0.195,0.517,1.33
"Distribución de áreas generales, total del sector y economía total por entidad federativa (porcentaje)|Nacional|Guanajuato",4.627,3.424,3.593,4.169,1.031,2.611,2.556,3.414,3.006,1.237,2.479,3.701,4.591,3.386,3.607,4.182,1.051,2.576,2.577,3.456,3.018,1.271,2.502,3.796,4.602,3.405,3.695,4.081,1.087,2.575,2.591,3.432,3.051,1.292,2.491,3.809,4.617,3.387,3.6,4.068,1.08,2.602,2.56,3.356,3.071,1.28,2.499,3.852,4.66,3.413,3.648,4.06,1.166,2.614,2.579,3.374,3.075,1.325,2.524,3.916,4.707,3.452,3.526,4.028,1.206,2.579,2.534,3.433,3.099,1.342,2.483,4.047,4.679,3.483,3.482,4.017,1.277,2.589,2.532,3.437,3.117,1.331,2.455,4.186,4.66,3.525,3.567,3.992,1.268,2.555,2.591,3.446,3.126,1.32,2.464,4.417,4.6,3.662,3.617,3.99,1.273,2.5,2.562,3.506,3.148,1.149,2.464,4.476,4.731,3.683,3.61,3.997,1.233,2.551,2.544,3.668,3.18,1.136,2.445,4.681,4.732,3.697,3.524,4.002,1.177,2.534,2.532,3.785,3.183,1.14,2.431,4.624,4.821,3.673,3.521,4.008,1.243,2.544,2.534,3.704,3.21,1.558,2.533,4.51,4.401,3.162,3.382,3.947,0.952,2.556,2.517,7.433,3.193,1.234,2.539,4.612,4.86,3.444,3.331,3.939,0.931,2.524,2.543,3.805,3.219,1.195,2.351,4.611,5.104,3.718,3.254,3.951,0.902,2.537,2.643,3.595,3.253,1.186,2.402,4.561,5.12,3.644,3.224,3.862,0.977,2.537,2.515,4.087,3.296,1.138,2.427,4.476
"Distribución de áreas generales, total del sector y economía total por entidad federativa (porcentaje)|Nacional|Guerrero",0.854,0.703,2.237,2.357,0.599,11.626,0.802,2.388,1.673,0.39,2.534,1.361,0.846,0.676,2.245,2.381,0.627,11.782,0.83,2.428,1.67,0.402,2.536,1.478,0.846,0.664,2.311,2.277,0.693,12.039,0.854,2.396,1.651,0.409,2.675,1.443,0.841,0.665,2.241,2.257,0.683,11.805,0.827,2.311,1.645,0.405,2.704,1.382,0.844,0.665,2.284,2.264,0.707,11.588,0.825,2.308,1.647,0.422,2.752,1.364,0.842,0.668,2.221,2.219,0.706,11.829,0.794,2.367,1.635,0.428,2.754,1.402,0.834,0.79,2.22,2.204,0.684,11.728,0.794,2.418,1.628,0.423,2.686,1.456,0.829,0.843,2.265,2.186,0.665,11.513,0.835,2.441,1.628,0.42,2.7,1.428,0.795,0.642,2.259,2.189,0.696,11.165,0.825,2.355,1.62,0.364,2.671,1.393,0.82,0.663,2.279,2.203,0.664,10.392,0.808,2.503,1.608,0.418,2.596,1.335,0.825,0.718,2.241,2.19,0.654,9.15,0.811,2.644,1.613,0.427,2.463,1.338,0.809,0.671,2.265,2.224,0.644,9.394,0.805,2.692,1.597,0.394,2.521,1.341,0.785,0.638,2.295,2.144,0.543,10.737,0.76,2.757,1.617,0.403,2.865,1.365,0.841,0.679,2.287,2.12,0.554,10.041,0.806,2.833,1.617,0.385,2.843,1.343,0.86,0.698,2.113,1.961,0.565,9.703,0.801,2.898,1.601,0.386,2.712,1.327,0.858,0.676,2.109,1.92,0.604,9.521,0.709,3.37,1.581,0.343,2.636,1.306
"Distribución de áreas generales, total del sector y economía total por entidad federativa (porcentaje)|Nacional|Hidalgo",0.959,1.458,1.78,2.495,0.381,0.555,0.78,1.878,2.674,0.376,1.084,1.525,0.948,1.466,1.79,2.609,0.395,0.559,0.798,1.904,2.67,0.379,1.115,1.473,0.946,1.453,1.824,2.62,0.422,0.56,0.809,1.901,2.637,0.384,1.092,1.504,0.943,1.432,1.788,2.662,0.392,0.555,0.787,1.861,2.626,0.385,1.09,1.479,0.946,1.43,1.799,2.695,0.411,0.556,0.792,1.868,2.632,0.398,1.094,1.566,0.94,1.424,1.731,2.775,0.416,0.552,0.765,1.898,2.61,0.402,1.067,1.52,0.932,1.428,1.708,2.854,0.415,0.555,0.762,1.889,2.601,0.399,1.046,1.614,0.931,1.447,1.756,2.923,0.407,0.553,0.798,1.908,2.602,0.394,1.054,1.699,0.916,1.451,1.753,2.964,0.403,0.561,0.794,1.897,2.591,0.358,1.057,1.615,0.933,1.461,1.746,2.861,0.385,0.576,0.78,1.968,2.568,0.367,1.025,1.691,0.935,1.496,1.699,2.954,0.367,0.57,0.778,2.016,2.58,0.375,1.019,1.751,0.917,1.494,1.739,2.952,0.407,0.588,0.784,2.164,2.566,0.405,1.051,1.686,0.894,1.443,1.704,3.201,0.307,0.607,0.756,1.242,2.605,0.378,0.957,1.64,0.954,1.445,1.614,3.236,0.331,0.614,0.78,1.27,2.612,0.367,0.949,1.662,0.963,1.39,1.489,3.226,0.335,0.618,0.864,1.896,2.584,0.369,0.998,1.76,0.961,1.425,1.442,3.255,0.374,0.608,0.783,2.096,2.547,0.39,1.007,1.77
